,time,outflow,storage
0,10:00,50.0,0.0
1,10:05,50.0,0.0
2,10:10,52.0,0.0
3,10:15,53.0,0.0
4,10:20,54.0,0.0
5,10:25,56.0,0.0
6,10:30,58.0,0.0
7,10:35,62.0,0.0
8,10:40,70.0,0.0
9,10:45,80.0,0.0
10,10:50,95.0,0.0
11,10:55,110.0,0.0
12,11:00,125.0,0.0
13,11:05,141.0,0.0
14,11:10,158.0,12.0
15,11:15,170.0,42.0
16,11:20,186.0,96.0
17,11:25,204.0,177.0
18,11:30,222.0,285.0
19,11:35,246.0,429.0
20,11:40,274.0,615.0
21,11:45,290.0,825.0
22,11:50,294.0,1041.0
23,11:55,298.0,1263.0
24,12:00,302.0,1491.0
25,12:05,302.0,1689.0
26,12:10,302.0,1837.0
27,12:15,302.0,1925.0
28,12:20,302.0,1953.0
29,12:25,250.0,1953.0
30,12:30,220.0,1953.0
31,12:35,200.0,1953.0
32,12:40,180.0,1953.0
33,12:45,162.0,1953.0
34,12:50,149.0,1953.0
35,12:55,138.0,1953.0
36,13:00,125.0,1953.0
37,13:05,112.0,1953.0
38,13:10,100.0,1953.0
39,13:15,90.0,1953.0
40,13:20,80.0,1953.0
41,13:25,72.0,1953.0
42,13:30,64.0,1953.0
43,13:35,56.0,1953.0
44,13:40,50.0,1953.0
45,13:45,46.0,1953.0
46,13:50,43.0,1953.0
47,13:55,40.0,1953.0
